priority,reason,stat_template,modifier_names,glove_classes,pool_types,current_status,isolated_sample_count,likely_sample_count,sample_ids,suggested_action
1,Missing explicit input sample,#% chance for Attack Hits to apply Incision,of Ulaman,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% chance to Daze on Hit,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% chance to Gain Arcane Surge when you deal a Critical Hit,of Kurgal,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Area of Effect of Curses,of Amanamu,"dex, dex_int, str_dex",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Cast Speed when on Full Life,of Kurgal,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Energy Shield Recharge Rate,of Buffering,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Immobilisation buildup,of Amanamu,"dex, dex_int, str_dex",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Magnitude of Ailments you inflict,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Mana Cost Efficiency,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Skill Speed if you've consumed a Frenzy Charge Recently,of Ulaman,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased chance to Poison,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased chance to inflict Bleeding,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Armour | +# to Evasion Rating,"Durable, Flexible, Pliant, Supple",str_dex,explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Dexterity and Intelligence,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Strength and Dexterity,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Strength and Intelligence,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+#% to Fire and Chaos Resistances,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
2,Likely mapping needs isolated confirmation,#% increased Armour,"Buttressed, CorruptionLocalIncreasedPhysicalDamageReductionRatingPercent1, Girded, Impregnable, Layered, Lobstered, Reinforced, Thickened",str,"corrupted_enchantment, explicit",likely_mapping,0,1,STONEFIST-0073,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Armour and Energy Shield,"CorruptionLocalIncreasedArmourAndEnergyShield1, Inculcated, Infixed, Infused, Ingrained, Inspired, Instilled, Interpolated",str_int,"corrupted_enchantment, explicit",likely_mapping,0,2,STONEFIST-0030|STONEFIST-0037,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Armour and Energy Shield | +# to maximum Life,"Augur's, Auspex's, Druid's, Haruspex's, Prophet's, Visionary's",str_int,explicit,likely_mapping,0,4,STONEFIST-0020|STONEFIST-0034|STONEFIST-0035|STONEFIST-0070,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Armour and Evasion,"Brawler's, CorruptionLocalIncreasedArmourAndEvasion1, Duelist's, Fencer's, Gladiator's, Hero's, Legend's, Scrapper's",str_dex,"corrupted_enchantment, explicit",likely_mapping,0,2,STONEFIST-0023|STONEFIST-0084,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Armour and Evasion | +# to maximum Life,"Aggressor's, Assailant's, Brute's, Bully's, Predator's, Thug's",str_dex,explicit,likely_mapping,0,1,STONEFIST-0047,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Armour | +# to maximum Life,"Crocodile's, Lobster's, Nautilus', Octopus', Oyster's, Urchin's",str,explicit,likely_mapping,0,1,STONEFIST-0002,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Critical Damage Bonus,"of Anger, of Ferocity, of Fury, of Ire, of Rage","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,4,STONEFIST-0017|STONEFIST-0041|STONEFIST-0069|STONEFIST-0073,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Energy Shield | +# to maximum Life,"Abbot's, Bishop's, Exarch's, Monk's, Pope's, Prior's",int,explicit,likely_mapping,0,2,STONEFIST-0017|STONEFIST-0078,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Evasion Rating,"CorruptionLocalIncreasedEvasionRatingPercent1, Ghost's, Mirage's, Nightmare's, Phantasm's, Shade's, Spectre's, Wraith's",dex,"corrupted_enchantment, explicit",likely_mapping,0,2,STONEFIST-0005|STONEFIST-0038,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Evasion Rating | +# to maximum Life,"Fawn's, Flea's, Ibex's, Mouflon's, Ram's, Stag's",dex,explicit,likely_mapping,0,2,STONEFIST-0032|STONEFIST-0038,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Evasion and Energy Shield,"CorruptionLocalIncreasedEvasionAndEnergyShield1, Ephemeral, Ethereal, Evanescent, Illusory, Shadowy, Unreal, Unworldly",dex_int,"corrupted_enchantment, explicit",likely_mapping,0,4,STONEFIST-0012|STONEFIST-0018|STONEFIST-0027|STONEFIST-0072,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Evasion and Energy Shield | +# to maximum Life,"Bard's, Maestro's, Minstrel's, Musician's, Poet's, Troubadour's",dex_int,explicit,likely_mapping,0,2,STONEFIST-0001|STONEFIST-0028,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% increased Rarity of Items found,"of Archaeology, of Plunder, of Raiding","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,10,STONEFIST-0012|STONEFIST-0024|STONEFIST-0028|STONEFIST-0029|STONEFIST-0034|STONEFIST-0035|STONEFIST-0045|STONEFIST-0046|STONEFIST-0047|STONEFIST-0051,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,#% reduced Attribute Requirements,"CorruptionReducedLocalAttributeRequirements1, of the Apt, of the Proficient, of the Skilled, of the Talented, of the Worthy","dex, dex_int, int, str, str_dex, str_int","corrupted_enchantment, explicit",likely_mapping,0,3,STONEFIST-0029|STONEFIST-0043|STONEFIST-0078,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Accuracy Rating,"Amazon's, Consistent, Deliberate, Focused, Hunter's, Precise, Ranger's, Reliable, Steady","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,8,STONEFIST-0001|STONEFIST-0002|STONEFIST-0012|STONEFIST-0017|STONEFIST-0033|STONEFIST-0042|STONEFIST-0044|STONEFIST-0083,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Armour,"Carapaced, Encased, Fortified, Lacquered, Plated, Ribbed, Studded",str,explicit,likely_mapping,0,1,STONEFIST-0019,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Armour | +# to maximum Energy Shield,"Anointed, Blessed, Hallowed, Sanctified",str_int,explicit,likely_mapping,0,1,STONEFIST-0070,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Dexterity,"of the Falcon, of the Fox, of the Jaguar, of the Leopard, of the Lynx, of the Mongoose, of the Panther, of the Phantom, of the Wind","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,11,STONEFIST-0024|STONEFIST-0030|STONEFIST-0031|STONEFIST-0035|STONEFIST-0041|STONEFIST-0044|STONEFIST-0050|STONEFIST-0066|STONEFIST-0068|STONEFIST-0071|STONEFIST-0077,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Evasion Rating,"Acrobat's, Agile, Blurred, Dancer's, Fleet, Phased, Vaporous",dex,explicit,likely_mapping,0,4,STONEFIST-0025|STONEFIST-0039|STONEFIST-0048|STONEFIST-0071,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Evasion Rating | +# to maximum Energy Shield,"Cherub's, Nymph's, Sylph's, Will-o-wisp's",dex_int,explicit,likely_mapping,0,3,STONEFIST-0001|STONEFIST-0021|STONEFIST-0036,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Intelligence,"of the Augur, of the Philosopher, of the Prodigy, of the Pupil, of the Sage, of the Savant, of the Student, of the Virtuoso","dex_int, int, str_int",explicit,likely_mapping,0,4,STONEFIST-0018|STONEFIST-0029|STONEFIST-0046|STONEFIST-0072,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Level of all Melee Skills,"CorruptionGlobalMeleeSkillGemsLevel1, of Combat, of Dueling","dex, dex_int, int, str, str_dex, str_int","corrupted_enchantment, explicit",likely_mapping,0,7,STONEFIST-0015|STONEFIST-0020|STONEFIST-0028|STONEFIST-0034|STONEFIST-0048|STONEFIST-0070|STONEFIST-0072,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to Strength,"of the Bear, of the Brute, of the Goliath, of the Gorilla, of the Leviathan, of the Lion, of the Titan, of the Wrestler","str, str_dex, str_int",explicit,likely_mapping,0,2,STONEFIST-0034|STONEFIST-0068,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to maximum Energy Shield,"Blazing, Glimmering, Glittering, Glowing, Pulsing, Radiating, Shining",int,explicit,likely_mapping,0,1,STONEFIST-0029,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to maximum Life,"Athlete's, Hale, Healthy, Robust, Rotund, Sanguine, Stalwart, Stout, Virile","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,19,STONEFIST-0008|STONEFIST-0011|STONEFIST-0019|STONEFIST-0021|STONEFIST-0024|STONEFIST-0027|STONEFIST-0031|STONEFIST-0036|STONEFIST-0040|STONEFIST-0043|STONEFIST-0050|STONEFIST-0066|STONEFIST-0067|STONEFIST-0068|STONEFIST-0069|STONEFIST-0070|STONEFIST-0071|STONEFIST-0073|STONEFIST-0075,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+# to maximum Mana,"Aqua, Azure, Beryl, Cerulean, Chalybeous, Cobalt, Gentian, Opalescent, Teal","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,17,STONEFIST-0009|STONEFIST-0012|STONEFIST-0018|STONEFIST-0024|STONEFIST-0027|STONEFIST-0036|STONEFIST-0037|STONEFIST-0038|STONEFIST-0042|STONEFIST-0046|STONEFIST-0047|STONEFIST-0048|STONEFIST-0051|STONEFIST-0068|STONEFIST-0069|STONEFIST-0075|STONEFIST-0083,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+#% of Armour also applies to Elemental Damage,"of Covering, of Furring, of Lining, of Padding, of Sheathing","str, str_dex, str_int",explicit,likely_mapping,0,2,STONEFIST-0002|STONEFIST-0037,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+#% to Cold Resistance,"of Haast, of the Ice, of the Narwhal, of the Penguin, of the Polar Bear, of the Seal, of the Walrus, of the Yeti","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,12,STONEFIST-0017|STONEFIST-0018|STONEFIST-0021|STONEFIST-0028|STONEFIST-0031|STONEFIST-0036|STONEFIST-0037|STONEFIST-0040|STONEFIST-0048|STONEFIST-0071|STONEFIST-0072|STONEFIST-0077,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+#% to Cold and Chaos Resistances,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,1,STONEFIST-0084,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+#% to Fire Resistance,"of Magma, of Tzteosh, of the Drake, of the Furnace, of the Kiln, of the Salamander, of the Volcano, of the Whelpling","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,11,STONEFIST-0009|STONEFIST-0011|STONEFIST-0019|STONEFIST-0020|STONEFIST-0024|STONEFIST-0035|STONEFIST-0036|STONEFIST-0038|STONEFIST-0048|STONEFIST-0066|STONEFIST-0069,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,+#% to Lightning and Chaos Resistances,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,1,STONEFIST-0083,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,Adds # to # Cold damage to Attacks,"Chilled, Entombing, Freezing, Frigid, Frosted, Frozen, Glaciated, Icy, Polar","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,8,STONEFIST-0005|STONEFIST-0009|STONEFIST-0015|STONEFIST-0016|STONEFIST-0018|STONEFIST-0020|STONEFIST-0042|STONEFIST-0084,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,Adds # to # Fire damage to Attacks,"Blasting, Burning, Cremating, Flaming, Heated, Incinerating, Scorching, Smoking, Smouldering","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,6,STONEFIST-0002|STONEFIST-0005|STONEFIST-0019|STONEFIST-0074|STONEFIST-0083|STONEFIST-0084,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,Gain # Life per Enemy Hit with Attacks,"of Nourishment, of Regrowth, of Rejuvenation, of Restoration","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,4,STONEFIST-0005|STONEFIST-0027|STONEFIST-0031|STONEFIST-0067,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,Gain Deflection Rating equal to #% of Evasion Rating,"of Bending, of Curvation, of Deflecting, of Diversion, of Flexure","dex, dex_int, str_dex",explicit,likely_mapping,0,1,STONEFIST-0012,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,Leech #% of Physical Attack Damage as Life,"of the Lamprey, of the Locust, of the Remora, of the Vampire","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,6,STONEFIST-0001|STONEFIST-0005|STONEFIST-0021|STONEFIST-0025|STONEFIST-0073|STONEFIST-0083,Capture an isolated sample to confirm this likely mapping.
2,Likely mapping needs isolated confirmation,Leech #% of Physical Attack Damage as Mana,"of the Arid, of the Desperate, of the Drought, of the Parched","dex, dex_int, int, str, str_dex, str_int",explicit,likely_mapping,0,10,STONEFIST-0005|STONEFIST-0009|STONEFIST-0012|STONEFIST-0021|STONEFIST-0027|STONEFIST-0042|STONEFIST-0051|STONEFIST-0066|STONEFIST-0083|STONEFIST-0084,Capture an isolated sample to confirm this likely mapping.
3,Missing corruption-only sample,#% increased Quantity of Gold Dropped by Slain Enemies,CorruptionGoldFoundIncrease1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,corruption_only_missing,0,0,,"Capture if available, lower priority because it requires corrupted/enchantment data."
3,Missing corruption-only sample,+# to Maximum Frenzy Charges,CorruptionMaximumFrenzyCharges1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,corruption_only_missing,0,0,,"Capture if available, lower priority because it requires corrupted/enchantment data."
3,Missing corruption-only sample,Break #% increased Armour,CorruptionArmourBreak1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,corruption_only_missing,0,0,,"Capture if available, lower priority because it requires corrupted/enchantment data."
3,Missing corruption-only sample,Damage Penetrates #% Cold Resistance,CorruptionColdPenetration1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,corruption_only_missing,0,0,,"Capture if available, lower priority because it requires corrupted/enchantment data."
3,Missing corruption-only sample,Damage Penetrates #% Fire Resistance,CorruptionFirePenetration1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,corruption_only_missing,0,0,,"Capture if available, lower priority because it requires corrupted/enchantment data."
3,Missing corruption-only sample,Damage Penetrates #% Lightning Resistance,CorruptionLightningPenetration1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,corruption_only_missing,0,0,,"Capture if available, lower priority because it requires corrupted/enchantment data."
4,Confirmed mapping,#% increased Attack Speed,"of Ease, of Mastery, of Renown, of Skill","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,1,6,STONEFIST-0001|STONEFIST-0002|STONEFIST-0016|STONEFIST-0036|STONEFIST-0050|STONEFIST-0076|STONEFIST-0078,No immediate action.
4,Confirmed mapping,#% increased Energy Shield,"CorruptionLocalIncreasedEnergyShieldPercent1, Dauntless, Fearless, Indomitable, Protective, Resolute, Strong-Willed, Unassailable",int,"corrupted_enchantment, explicit",confirmed_mapping,1,1,STONEFIST-0065|STONEFIST-0077,No immediate action.
4,Confirmed mapping,+#% to Chaos Resistance,"of Bameth, of Banishment, of Eviction, of Exile, of Expulsion, of the Lost","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,1,2,STONEFIST-0007|STONEFIST-0039|STONEFIST-0075,No immediate action.
4,Confirmed mapping,+#% to Lightning Resistance,"of Ephij, of the Cloud, of the Lightning, of the Maelstrom, of the Squall, of the Storm, of the Tempest, of the Thunderhead","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,1,11,STONEFIST-0001|STONEFIST-0004|STONEFIST-0010|STONEFIST-0023|STONEFIST-0027|STONEFIST-0032|STONEFIST-0044|STONEFIST-0047|STONEFIST-0051|STONEFIST-0073|STONEFIST-0075|STONEFIST-0077,No immediate action.
4,Confirmed mapping,Adds # to # Lightning damage to Attacks,"Arcing, Buzzing, Crackling, Discharging, Electrocuting, Humming, Shocking, Snapping, Sparking","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,1,7,STONEFIST-0003|STONEFIST-0024|STONEFIST-0039|STONEFIST-0045|STONEFIST-0046|STONEFIST-0066|STONEFIST-0074|STONEFIST-0077,No immediate action.
4,Confirmed mapping,Adds # to # Physical Damage to Attacks,"Annealed, Burnished, Flaring, Gleaming, Glinting, Honed, Polished, Razor-sharp, Tempered","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,2,15,STONEFIST-0010|STONEFIST-0013|STONEFIST-0021|STONEFIST-0029|STONEFIST-0031|STONEFIST-0032|STONEFIST-0039|STONEFIST-0041|STONEFIST-0043|STONEFIST-0044|STONEFIST-0048|STONEFIST-0049|STONEFIST-0066|STONEFIST-0067|STONEFIST-0074|STONEFIST-0075|STONEFIST-0077,No immediate action.
4,Confirmed mapping,Gain # Life per enemy killed,"of Conquest, of Glory, of Legend, of Success, of Triumph, of Valour, of Vanquishing, of Victory","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,1,6,STONEFIST-0008|STONEFIST-0026|STONEFIST-0033|STONEFIST-0039|STONEFIST-0042|STONEFIST-0050|STONEFIST-0074,No immediate action.
4,Confirmed mapping,Gain # Mana per enemy killed,"of Absorption, of Assimilation, of Consumption, of Devouring, of Enveloping, of Infusion, of Osmosis, of Siphoning","dex, dex_int, int, str, str_dex, str_int",explicit,confirmed_mapping,1,4,STONEFIST-0022|STONEFIST-0042|STONEFIST-0046|STONEFIST-0071|STONEFIST-0084,No immediate action.
